Tweet,Tweet Length
@RajaJuliAntoni @prabowo @gibran_tweet Kita tunggu kerja-kerja nyata Kabinet Merah Putih,10
@RajaJuliAntoni @prabowo @gibran_tweet Kalo rapat kabinet wamennua tuh ga ikut ya?,11
Inilah salah satu alasan kenapa Sri Mulyani di pakai lagi di kabinet merah putih PRESIDEN HARUS MUTER CARI UTANGAN UNTUK MEMBAYAR UTANG WARISAN JOKOWI Miris Gak ? Negeri yang katanya kaya raya gemah ripah loh jinawi tapi musti gali lobang tutup lobang,42
@JhonSitorus_18 Wkwkwk....pusing Bacanya yg beginian. Indonesia Emas untuk Kabinet.......,9
Mari bicara logis terkat Kabinet Merah Putih. Efisiensi menutup celah koruptif dan hemat anggaran itulah yang menjadi dasar dari mengapa kabinet harus ramping. APBN kita defisit 600 triliun mengapa ditambah beban lagi? Salam Akal Sehat,35
@integritea_ @KompasTV Mikir dipake pejabat kabinet gemuk aja dah mules tapi jangan lupa pajak juga akan dipakai moles persona fufufafa selama 5 tahun kedepan,24
@susipudjiastuti @prabowo Gue kok gak yakin kalo kabinetnya akan memenuhi harapan rakyat lihatlah 50â„… kabinet masih di isi orang2 nya mulyono thanks bude susi... Kami merindukan ibu untuk bisa berkhidmat lagi untuk NKRI tercinta ini ,35
Presiden Prabowo Subianto memimpin Sidang Kabinet Paripurna pertama di Kantor Presiden meminta kepada jajaran kementerian dan lembaga untuk memprioritaskan program swasembada pangan. ðŸ‡®ðŸ‡© #TimnasDay ometv Cat 8 Baim Pecat Ketuhanan Yang Maha Esa ,33
@RajaJuliAntoni @prabowo @gibran_tweet Semoga kabinet ini bisa memberikan kinerja yang semaksimal mungkin untuk rakyat,14
Kabinet hura-hura. Pembekalannya pun dilakukan di Magelang. Indikasi megalomania. ,9
Pak @prabowo ber-hati2 lah.Itu si bocil sdh terindikasi mencitrakan dirinya pamor anda akan tenggelam dibuatnya.Jgn asyik urusin badut2 kabinet itu pak.,21
@Intel_Imut Semoga kabinet JOWO (Jokowi Prabowo) ini di ganti dengan Kabinet Pak Presiden Probowo,14
@ARSIPAJA Kabinet halu,3
Kabinet kacau balau !!!!! Mau bagaimana Nasih NKRI 5th kedepan. Etika Berpolitik Moralitas Berpolitik dll.... Bukan untuk warga NKRI hanya mengebiri kita-kita pembodohan terhadap warga berpendidikan tinggi membius warga yg belum terjamah ilmu !!!!!!,34
@AryBandung Apakah beliau bisa jadi Raja Tega demi kepentingan pemerintah spt JKW atau malah ga tegaan yg akhirnya malah jadi beban kabinet,22
@Strategi_Bisnis Jerome Polin harusnya diajak gabung kabinet merah putih.,9
@apanakdikato Bukan apa kalau dah dlm kabinet nak tolak duit masuk kabinet dulu baru buat budget,16
@AryBandung Pigai &amp; Yandri are pains in a*s kabinet probowo - gibran periode perdana sih menurut gw om. Treatment PS ke kedua org ini cocoknya sama seperti treatment yg dikasih JKW ke Rizal Ramli di periode JKW JK. Dikasih target kerja kalo ga perform tinggal kick | disini PS akan diuji,51
Lebih baik ini maknanya masih multidimensi bli Baik yg bagaiman? Baik untuk siapa? Baik apanya? Ampura respon saya untuk kabinet titipan2 ini masih nokomen Wait n see seken megae beneh ape cm retorika di depan media gen ane luung,39
@KompasTV Baru belajar..??? Kabinet ko isi nya orang2 yg baru belajar ya..?? Gimna mau bantu urus negara Mentri nya baru belajar Berarti blm ada pengalaman apa2 dong.?? Begitu banyak pertanyaan di otak gua skrng.???,34
Kepikiran dengan nambahnya kabinet mentri itu yang belum punya kantor sementara di taruh dimana,14
@are_inismyname @Ndons_Back @DedynurPalakka @99propaganda @BANGSAygSUJUD @Kimberley_PS08 @florieliciouss @IrawanRommi @DarekaRendy @adri_7i @temanduit Lah junjungan lu sendiri mengakui dia bukan org pinter makanya butuh org pinter disekitarnya thats why mentrinya bejibun. Sampe ada jabatan2 diluat kabinet . Kl dia pinter 20 thn kaga mandek jd presiden. Bs Jd prrsiden jg krn jokodok. 471 T cui abisnya wkwk #mbokwateg,56
@RajaJuliAntoni @prabowo @gibran_tweet Mantul Pak Menteri RJA Rapat Kabinet Paripurna perdana semua untuk kebaikan dan kecerdasan bangsa.,17
@msaid_didu Mestinya yg di push total bukan di pak @prabowo atau pak @jokowi saja. Justru dng duduknya orang lama di kabinet baru bisa di jadikan peluang membuka borok kerjaan-kerjaan mereka kemarin. Caranya gmn? Yaa caranya push total supaya perangkat hukum biar sehat dan bisa kerja nyata ! https://t.co/oyp1TNt6Kz,48
@Gerindra Jangan cuma omon omon .......... alias lips service ala mulyono .............. Awokwokwok buktikan. Badan penerimaan # gagal Zaken kabinet # gagal Naikan gaji guru belum terlaksana oktober,28
Kabinet Prabowo ni kok kebanyakan retorika kenapa ya,8
@DokterTifa @prabowo Isu2 kemaren gagal bikin gibran gagal dilantik skrg bikin isu kudeta 2027 dan menyebut bbrp nama akan merapat ke presiden Isu dpt drmn tifa kau paranormal orang kabinet atau dpt bisikan??,33
@RajaJuliAntoni @prabowo @gibran_tweet Wah keren Kabinet Merah Putih sudah siap kerja cepat dan berhasil. Sukses Pak @RajaJuliAntoni ,17
@PelatihT1dur Rencana 2029 akan gagal jika Prb berani undang pdip masuk ke kabinet. Semua tergantung keberanian Prb apa mau terus berada di bawah bayang2nya ?,25
@CNNIndonesia Tiap hari aja ada berita antik ttg kabinet baru.,10
Rapat Kabinet Awal luar biasa Penegasan @prabowo kpd bawahannya..Beda Pimpinan beda gaya sistemnya Kalau dulu TIDAK ADA VISI MISI menteri skrng Efisieni dan pembangunan ekonomi kedalam..mantaaPD ,26
@tham878 Jika jumlah kabinet di rampingkan itu efisien kalo di gemukkan gimana mau efisien?,14
@zola_papazola2 @msaid_didu @prabowo Termasuk jg batal menarik PDIP ke kabinet intinya ikut maunya jokowi dulu begitu Prabowo dilantik baru Prabowo bisa melakukan apapun termasuk melalukan reshuffle dlm 3 sampai 6 bulan kedepan termasuk menjegal #Fufufafa karena jelas telah menghina harkat dan martabat Prabowo..,43
@RajaJuliAntoni @prabowo @gibran_tweet Rapat Kabinet Paripurna perdana dan langsung tancap gas sukses.,12
@MasBRO_back @DFighter___ @ListyoSigitP gak ada pengen nerjunin propam pak ?? Pa @prabowo kasihan di awal kabinet banyak ujian....,18
