Model,Kelas,Akurasi,Presisi,Recall,F1-Score,Support
Naive Bayes,Negatif,0.4777448071216617,0.4143426294820717,0.8888888888888888,0.5652173913043478,234.0
Naive Bayes,Netral,0.4777448071216617,0.7943262411347518,0.3102493074792243,0.446215139442231,361.0
Naive Bayes,Positif,0.4777448071216617,0.064516129032258,0.0253164556962025,0.0363636363636363,79.0
SVM,Negatif,0.5491183879093199,0.5795148247978437,0.9188034188034188,0.7107438016528925,234.0
SVM,Netral,0.5491183879093199,0.07142857142857142,0.011904761904761904,0.02040816326530612,84.0
SVM,Positif,0.5491183879093199,0.16666666666666666,0.02531645569620253,0.04395604395604396,79.0\
