"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1868550692367216812","Tue Dec 17 11:27:32 +0000 2024","0","@iamharunkhan Yes .. It can be.. Problem is half the Mosley population will be under scrutiny.. Some street offenders . Most others domestic sexual offenders","1868981348477833468","","iamharunkhan","en","","0","0","0","https://x.com/SanatanMahaan/status/1868981348477833468","3010786580","SanatanMahaan"
"1868981341997744579","Tue Dec 17 11:27:30 +0000 2024","0","Hawardǝ: Nyiga wuzǝna ⎐ٺون⎐ ⊵cn24⊴ ⎐اىؤا⎐ ⊵A98⊴ qng","1868981341997744579","","","vi","St. Helena","0","0","0","https://x.com/DanielleDu68489/status/1868981341997744579","1789349650845011968","DanielleDu68489"
"1868954658066383026","Tue Dec 17 11:27:28 +0000 2024","0","@newjeans_loop @omegawatches DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981335240720752","","newjeans_loop","it","OT5❤️ ","0","0","0","https://x.com/JasmeenAlana/status/1868981335240720752","1338620818436329477","JasmeenAlana"
"1868956691993411985","Tue Dec 17 11:27:27 +0000 2024","0","@juantokki @omegawatches DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981328722657669","","juantokki","it","Australia","0","0","0","https://x.com/knight_spg/status/1868981328722657669","13637952","knight_spg"
"1868981311719010434","Tue Dec 17 11:27:23 +0000 2024","0","الاتحاد نابولي ▬نمشؾ▬ ◗CMM◖ ▬ٺون▬ ◗SAAS◖","1868981311719010434","","","sd","French Southern Territories","0","0","0","https://x.com/DanielleJe38229/status/1868981311719010434","1745350939723153408","DanielleJe38229"
"1868960601634213903","Tue Dec 17 11:27:22 +0000 2024","0","@NewJeansCentral @omegawatches DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981310154539110","","NewJeansCentral","it","","0","0","0","https://x.com/mitto3383260288/status/1868981310154539110","1832259082545459202","mitto3383260288"
"1868981306866254115","Tue Dec 17 11:27:22 +0000 2024","0","축하해 #DANIELLExOMEGA #DANIELLE @omegawatches","1868981306866254115","","","ko","","0","0","0","https://x.com/NjSonly4179/status/1868981306866254115","1861652634161291264","NjSonly4179"
"1868981305305972916","Tue Dec 17 11:27:21 +0000 2024","0","_ ⎐ٺًمشـؾ⎐ ⊵CMM⊴ ⎐ٺؤن⎐ ⊵CN24⊴ ⎐ستايلئ⎐ ⊴DMQ⊴ __ TMs21","1868981305305972916","","","und","British Indian Ocean Territory","0","0","0","https://x.com/DanielleJe88829/status/1868981305305972916","1762133896425091073","DanielleJe88829"
"1868951937418510793","Tue Dec 17 11:27:20 +0000 2024","0","@DanielleMarshID @omegawatches maroon DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981301715640538","","DanielleMarshID","fi","🧸🦦🐶🐱🐹","0","0","0","https://x.com/pretzeldiaries/status/1868981301715640538","1601373918669209600","pretzeldiaries"
"1868981296086814923","Tue Dec 17 11:27:19 +0000 2024","0","برشلونة أوكسير فينيسيا الشباب ڪۆد خضم مباشر ▬رسيس▬ ← AA16","1868981296086814923","","","ar","Macau SAR China","0","0","0","https://x.com/DanielleSi91333/status/1868981296086814923","1754019732309606401","DanielleSi91333"
"1868981293784219745","Tue Dec 17 11:27:19 +0000 2024","0","ليستر سيتي ريال مدريد ريال سوسيداد مارسيليا ▬إيهٮرب▬ ← CUC6184","1868981293784219745","","","ar","Jordan","0","0","0","https://x.com/DanielleTh9331/status/1868981293784219745","1745957259576799232","DanielleTh9331"
"1868960601634213903","Tue Dec 17 11:27:18 +0000 2024","0","@NewJeansCentral @omegawatches DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981292748227015","","NewJeansCentral","it","","0","0","0","https://x.com/xxTokkixxN/status/1868981292748227015","1614353247652777984","xxTokkixxN"
"1868981285538218408","Tue Dec 17 11:27:17 +0000 2024","0","شتوتغارت الفيصلي إن إي سي نيميغن ڪۆد خضم مباشر ▬لُفيُل▬شوُز▬لُيفُل▬لُيُفيُل▬ ← VEL33","1868981285538218408","","","ar","Herzegovina","0","0","0","https://x.com/DanielleA70339/status/1868981285538218408","1758985984417431552","DanielleA70339"
"1868951937418510793","Tue Dec 17 11:27:16 +0000 2024","0","@DanielleMarshID @omegawatches grey DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981281679458631","","DanielleMarshID","it","🧸🦦🐶🐱🐹","0","0","0","https://x.com/pretzeldiaries/status/1868981281679458631","1601373918669209600","pretzeldiaries"
"1868951709198041556","Tue Dec 17 11:27:13 +0000 2024","0","@PoppyKPoppie DANIELLE NEW OMEGA AMBASSADOR #DANIELLExOMEGA #DANIELLE @omegawatches","1868981269062934957","","PoppyKPoppie","it","","0","0","0","https://x.com/mitto3383260288/status/1868981269062934957","1832259082545459202","mitto3383260288"
"1868981266714169643","Tue Dec 17 11:27:12 +0000 2024","0","بوخوم وولفرهامبتون واندررز بوافيستا برايتون وهوف ألبيون ڪۆد خضم مباشر ▬إيهٮرب▬ ← CNU3074","1868981266714169643","","","ar","Costa Rica","0","0","0","https://x.com/DanielleRo41320/status/1868981266714169643","1750297037021564929","DanielleRo41320"
"1868981263564161481","Tue Dec 17 11:27:11 +0000 2024","0","الفتح برينتفورد فولهام ستراسبورغ موناكو ڪۆد خضم مباشر ▬ماماز▬اند▬باباز▬ ← DF60","1868981263564161481","","","ckb","Mauritius","0","0","0","https://x.com/DanielleMc77847/status/1868981263564161481","1748025107807653888","DanielleMc77847"
"1868981257113419875","Tue Dec 17 11:27:10 +0000 2024","0","سانتا كلارا هامبورغ ضمك مايوركا تولوز ڪۆد خضم مباشر ▬امريكان▬ايجل▬ايفل▬ ← PFYYK","1868981257113419875","","","ckb","Bolivia","0","0","0","https://x.com/DanielleLa32457/status/1868981257113419875","1779191578197667840","DanielleLa32457"
